exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Incline Twisting Sit-up,Basic,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],[''],Waist,Legs
Lever Seated Row (no chest pad),Basic,Compound,"back, general","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Crunch (arms down),Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
"Lever Triceps Extension (no seat, plate loaded)",Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Pectoralis Major, Sternal', 'Deltoid, Posterior', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Minor', 'Trapezius, Lower', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Dumbbell One Arm Upright Row,Basic,Compound,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae']",[''],[''],Shoulders,Shoulders
Lever Seated Rear Delt Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis', 'Latissimus Dorsi']","['Deltoid, Lateral']",['Biceps Brachii'],[''],Shoulders,Shoulders
Dumbbell One Arm Seated Lateral Raise,Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Self-assisted Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Middle', 'Trapezius, Lower', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Lever Seated Tibia Raise (plate loaded),Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Dumbbell Alternating Full Can Seated Front Raise,Auxiliary,Isolated,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Barbell Reverse Wrist Curl,Basic or Auxiliary,Isolated,wrist extensors,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Sled Gripless Shrug,Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Weighted Glute-Ham Raise,Basic or Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus', 'Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques', 'Tibialis Anterior']",Thighs,Legs
Cable Lying Fly,Auxiliary,Isolated,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Biceps Brachii, Short Head']","['Biceps Brachii', 'Brachialis', 'Triceps Brachii', 'Wrist Flexors']",[''],[''],Chest,Chest
Weighted Vertical Leg Raise (on parallel bars),Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Deltoid, Posterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Trapezius, Lower', 'Triceps Brachii']",['Rectus Femoris'],[''],Waist,Legs
Side Crunch,Auxiliary,Isolated,obliques,['Rectus Abdominis'],['No significant stabilizers'],[''],[''],Waist,Legs
Single Leg Forward Angled Calf Raise,Basic or Auxiliary,Isolated,gastrocnemius,['Soleus'],"['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Hip External Rotators', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps Brachii']",[''],[''],Calves,Legs
Cable Bar Pushdown (forward leaning),Basic or Auxiliary,Isolated,triceps brachii,[''],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Trapezius, Lower', 'Rectus Abdominis', 'Obliques', 'Wrist Flexors']",[''],['Erector Spinae'],Upper Arms,Arms
Cable Straight-back Straight-leg Deadlift,Basic or Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Trapezius, Middle', 'Rhomboids', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Weighted Single Leg Hip Thrust (leg extended),Auxiliary,Isolated,gluteus maximus,['Adductor Magnus'],"['Erector Spinae', 'Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Pullover (plate loaded),Auxiliary,Isolated,latissimus dorsi,"['Pectoralis Major, Sternal', 'Pectoralis Minor', 'Triceps, Long Head', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae']","['Trapezius, Lower']",[''],[''],Back,Back
Lever Single Leg Split V-Squat,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Band Resistive Neck Retraction,Auxiliary,Isolated,splenius,[''],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Longus capitis', 'Longus colli', 'Rectus capitus']",[''],[''],Neck,Shoulders
Weighted Reverse Hyper-extension,Auxiliary,Isolated,gluteus maximus,['Hamstrings'],['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Cable Pushdown (with V-bar),Auxiliary,Isolated,triceps brachii,['None'],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Trapezius, Lower', 'Rectus Abdominis', 'Obliques', 'Wrist Flexors']",[''],['Erector Spinae'],Upper Arms,Arms
Cable Standing Preacher Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Suspended Single Leg Split Squat (self-assisted),Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Lever Seated Calf Raise,Auxiliary,Isolated,soleus,['Gastrocnemius'],['No significant stabilizers'],[''],[''],Calves,Legs
Band-assisted Open Centered Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor', 'Trapezius, Lower', 'Pectoralis Major, Sternal']",[''],"['Triceps, Long Head']",[''],Back,Back
Cable Chest Press,Basic or Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Sled Lying Reverse Calf Press,Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Cable Twisting Chest Press,Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii', 'Obliques', 'Serratus Anterior']",['Rectus Abdominis'],"['Biceps Brachii, Short Head']",['Erector Spinae'],Chest,Chest
Lever Front Squat,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Suspended Triceps Extension (with rope),Basic or Auxiliary,Isolated,triceps brachii,[''],"['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Latissimus Dorsi', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Deltoid, Posterior', 'Pectoralis Minor', 'Serratus Anterior', 'Rectus Abdominis', 'Obliques', 'Quadriceps', 'Gastrocnemius', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris']",[''],[''],Upper Arms,Arms
Vertical Twisting Leg Raise,Auxiliary,Isolated,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],[''],Waist,Legs
Dumbbell Seated Front Raise,Auxiliary,Isolated,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Cable Incline Chest Press,Basic or Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Cable Standing Reverse Preacher Curl,Auxiliary,Isolated,brachioradialis,"['Brachialis', 'Biceps Brachii']",['Wrist Extensors'],[''],[''],Forearms,Arms
Lever Seated Crunch (chest pad),Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
Cable Twisting Standing High Row,Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal', 'Obliques', 'Quadratus Lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']",['Erector Spinae'],"['Biceps Brachii', 'Triceps, Long Head']",['Rectus Abdominis'],Back,Back
Wall Front Neck Bridge,Basic or Auxiliary,Isolated,sternocleidomastoid,"['Splenius', 'Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",[''],['Erector Spinae'],Neck,Shoulders
Lever Alternating Preacher Curl (arms high),Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Machine-assisted Chin-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Single Leg 45° Leg Press,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Suspended Triceps Dip,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Trap Bar Shrug,Basic,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Dumbbell Side Lying Rear Delt Raise,Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['Triceps Brachii'],[''],[''],Shoulders,Shoulders
Barbell Reclined Shoulder Press,Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Incline Straight Leg Raise (arms on pads),Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",[''],[''],Waist,Legs
Lever Alternating Underhand Seated Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Barbell Step-up,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (second leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (first leg)']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Sit-up,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']",['Tibialis Anterior'],[''],[''],Waist,Legs
Cable Pullover,Auxiliary,Isolated,latissimus dorsi,"['Pectoralis Major, Sternal', 'Triceps Long Head', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor']","['Triceps Brachii', 'Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Back,Back
Cable Shrug,Basic or Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Smith Incline Bench Press,Basic or Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Cable Overhead Seated Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],"['Latissimus Dorsi', 'Deltoid, Posterior', 'Rhomboids', 'Teres Major', 'Pectoralis Minor']",[''],[''],Waist,Legs
Cable Standing Incline Chest Press,Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii', 'Serratus Anterior']","['Rectus Abdominis', 'Obliques']","['Biceps Brachii, Short Head']",['Erector Spinae'],Chest,Chest
Cable Rear Delt Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']",['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Suspended Arm Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']","['Erector Spinae', 'Gluteus Maximus', 'Hamstrings', 'Wrist Flexors', 'Trapezius, Middle', 'Rhomboids']",[''],"['Rectus Abdominis', 'Obliques']",Upper Arms,Arms
Incline Push-up (on bar),Basic or Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Rectus Abdominis', 'Obliques', 'Pectoralis Minor', 'Serratus Anterior', 'Quadriceps', 'Gastrocnemius', 'Soleus']","['Biceps Brachii, Short Head']",['Erector Spinae'],Chest,Chest
Lever Roller Wrist Flexion,Auxiliary,Isolated,wrist flexors,['None'],['No significant stabilizers.'],[''],[''],Forearms,Arms
Dumbbell One Arm Triceps Extension,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Wrist Extensors', 'Flexor Carpi Ulnaris']",[''],[''],Upper Arms,Arms
Suspended Biceps Curl,Basic or Auxiliary,Compound,biceps brachii,"['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus']","['Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Upper Arms,Arms
Lever Alternating Bent-knee Seated Calf Extension,Auxiliary,Isolated,soleus,"['Quadriceps', 'Gluteus Maximus']",[''],[''],[''],Calves,Legs
Lever Kneeling Glute Kickback,Auxiliary,Compound,gluteus maximus,['Adductor Magnus'],"['Erector Spinae', 'Quadratus Lumborum', 'Obliques', 'Gluteus Medius', 'Gluteus Minimus']",[''],"['Hamstrings', 'Rectus Abdominis']",Hips,Legs
Barbell Back Extension (on hyperextension apparatus),Auxiliary,Isolated,erector spinae,[' '],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Lower', 'Pectoralis Minor', 'Rhomboids']",[''],[''],Back,Back
Lever Alternating Underhand Pulldown,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Alternating Lying Leg Press,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Lever Reverse Curl,Basic or Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Lever Alternating Leg Extension (unilateral machine),Auxiliary,Isolated,quadriceps,['None'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Thighs,Legs
Sled 45° Reverse Calf Raise (plate loaded),Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Vertical Leg Raise (on parallel bars),Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Deltoid, Posterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Trapezius, Lower', 'Triceps Brachii']",['Rectus Femoris'],[''],Waist,Legs
Smith Close Grip Bench Press,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],['Biceps Brachii'],[''],Upper Arms,Arms
Dumbbell Shrug,Basic,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Lever Kneeling Twist,Auxiliary,Isolated,obliques,"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Deltoid, Anterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Posterior', 'Latissimus Dorsi', 'Triceps, Long Head', 'Gluteus Maximus']",[''],[''],Waist,Legs
Sled Rear Lunge,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Lever Underhand Seated Row (plate loaded),Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Bar Shrug,Basic,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],[''],Back,Back
Dumbbell Wrist Curl,Basic or Auxiliary,Isolated,wrist flexors,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Barbell Incline Triceps Extension,Basic,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Self-assisted Single Leg Squat (bar),Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Erector Spinae (see notes)']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Cable Standing Low Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",['Triceps Supporting Arm'],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Twisting Standing Overhead Pull,Auxiliary,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Obliques', 'Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Overhead Triceps Extension,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Cable Wide Grip Straight Back Seated Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Lever Reverse Preacher Curl,Auxiliary,Isolated,brachioradialis,"['Brachialis', 'Biceps Brachii']",['Wrist Extensors'],[''],[''],Forearms,Arms
Weighted Lateral Neck Flexion,Auxiliary,Isolated,sternocleidomastoid,"['Splenius', 'Erector Spinae', 'Levator Scapulae', 'Trapezius, Upper']",[''],[''],[''],Neck,Shoulders
Lever Seated Row,Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Sled Donkey Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],[''],Calves,Legs
Weighted Back Extension (on hyperextension apparatus),Auxiliary,Isolated,erector spinae,[' '],['No significant stabilizers'],[''],[''],Back,Back
Lever Rear Lateral Raise (on lateral raise machine),Auxiliary,Isolated,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Barbell Straight-back Straight-leg Deadlift,Basic or Auxiliary,Isolated,hamstrings,"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Trapezius, Middle', 'Rhomboids', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Hanging Straight Leg-Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Rectus Femoris', 'Obliques', 'Quadriceps']",[''],[''],[''],Waist,Legs
Lever Lying Twist,Auxiliary,Isolated,obliques,"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Adductors, Hip (side of rotating direction)']",[''],[''],Waist,Legs
Cable Bent-over Hip Extension,Auxiliary,Isolated,gluteus maximus,['Hamstrings'],"['Obliques', 'Erector Spinae', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",[''],[''],Hips,Legs
Cable Bar Reverse Curl,Auxiliary,Isolated,brachioradialis,"['Brachialis', 'Biceps Brachii']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Forearms,Arms
Lever Barbell Close Grip Bench Press (plate loaded),Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],['Biceps Brachii'],[''],Upper Arms,Arms
Vertical Leg-Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],[''],Waist,Legs
Cable Prone Incline Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']","['Wrist Flexors', 'Trapezius, Middle', 'Rhomboids']",[''],[''],Upper Arms,Arms
Dumbbell Decline Fly,Auxiliary,Isolated,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Biceps Brachii, Short Head']","['Biceps Brachii', 'Brachialis', 'Triceps Brachii', 'Wrist Flexors']",[''],[''],Chest,Chest
Lever Seated Calf Extension,Auxiliary,Isolated,soleus,['Gastrocnemius'],['No significant stabilizers'],[''],[''],Calves,Legs
