exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Dumbbell Concentration Curl,Auxiliary,Isolated,brachialis,"['Biceps Brachii', 'Brachioradialis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Obliques', 'Erector Spinae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Dumbbell Upright Shoulder External Rotation,Auxiliary,Isolated,teres minor,"['Infraspinatus', 'Deltoid, Posterior', 'Supraspinatus']","['Deltoid, Lateral', 'Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Single Leg Hip Thrust (leg extended),Auxiliary,Isolated,gluteus maximus,['Adductor Magnus'],"['Erector Spinae', 'Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Leg-Hip Raise (on stability ball),Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",['Rectus Femoris'],[''],Waist,Legs
Lever Seated Rear Delt Row (plate loaded),Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis', 'Latissimus Dorsi']","['Deltoid, Lateral']",['Biceps Brachii'],[''],Shoulders,Shoulders
Barbell Decline Triceps Extension,Basic,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Weighted Vertical Straight Leg Raise,Auxiliary,Isolated,iliopsoas,"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Rectus Femoris', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps', 'Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",[''],[''],Waist,Legs
Dumbbell Prone External Rotation,Auxiliary,Isolated,infraspinatus,"['Teres Minor', 'Deltoid, Posterior']","['Rhomboids', 'Trapezius, Middle', 'Trapezius, Lower', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Cable Seated Row,Basic,Compound,"back, general","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Self-assisted Chin-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Standing Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
Cable Seated Lateral Raise,Basic or Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Shoulders,Shoulders
Band-assisted Chest Dip,Basic,Compound,"pectoralis major, sternal","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],[''],Chest,Chest
Sled Seated Leg Press,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Medicine Ball Chest Throw Sit-up (machine),Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae\nLatae', 'Rectus Femoris', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Aductor Brevis', 'Obliques', 'Pectoralis\nMajor, Sternal', 'Pectoralis\nMajor, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",['Tibialis Anterior'],[''],[''],Waist,Legs
Dumbbell Hammer Curl,Auxiliary,Isolated,brachioradialis,"['Brachialis', 'Biceps Brachii']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Flexor Carpi Radialis', 'Extensor Carpi Radialis']",[''],[''],Forearms,Arms
Barbell Stiff Leg Deadlift,Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Back,Back
"45° Hyperextension (on stability ball, arms up)",Basic or Auxiliary,Compound,erector spinae,"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],[''],Back,Back
Barbell Walking Lunge,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Barbell Side Split Squat,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus (lead leg)', 'Adductors (extended leg)', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Row (high bar),Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Back,Back
Lever Incline Fly,Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Biceps Brachii']",[''],[''],[''],Chest,Chest
Dumbbell Kickback,Auxiliary,Isolated,triceps brachii,['None'],"['Deltoid, Posterior', 'Latissimus Dorsi', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris']",[''],[''],Upper Arms,Arms
Smith Deadlift,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Hamstrings (top half)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings (bottom half)', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Incline Twisting Crunch (arms crossed),Auxiliary,Isolated,obliques,"['Rectus Abdominis', 'Psoas Major']",['Tibialis Anterior'],[''],[''],Waist,Legs
Dumbbell Decline Bench Press,Basic or Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Cable Shoulder Press,Basic or Auxiliary,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Lever Bench Press,Basic,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Lever Squat,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Suspended Single Leg Curl (leg extended),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[' (see comments)'],[''],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Close Grip Incline Row (plate loaded),Basic,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Reverse Calf Raise,Basic or Auxiliary,Isolated,tibialis anterior,['None'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
Dumbbell Lying Lateral Raise,Auxiliary,Isolated,"deltoid, lateral","['Deltoid, Posterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Wrist Extensors', 'Trapezius, Upper', 'Levator Scapulae']",[''],[''],Shoulders,Shoulders
Smith Wide Grip Upright Row,Basic,Compound,"deltoid, lateral","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae']",[''],[''],Shoulders,Shoulders
Lever Lateral Neck Flexion,Auxiliary,Isolated,sternocleidomastoid,[' (Neck)'],[' (Other)'],[''],[''],Neck,Shoulders
Suspended Fly,Auxiliary,Isolated,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Biceps Brachii, Short Head']","['Rectus Abdominis', 'Obliques', 'Pectoralis Minor', 'Serratus Anterior', 'Quadriceps', 'Gastrocnemius', 'Soleus', 'Biceps Brachii', 'Brachialis', 'Triceps Brachii', 'Wrist Flexors']",[''],['Erector Spinae'],Chest,Chest
