exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
Smith Single Leg Split Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Lever Lying Crunch (plate loaded),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Rectus Abdominis'],['Obliques'],"['Pectoralis Major, SternalLatissimus DorsiTeres MajorDeltoid, PosteriorTriceps, Long Head', 'Latissimus DorsiTeres MajorDeltoid, PosteriorTriceps, Long Head', 'Teres MajorDeltoid, PosteriorTriceps, Long Head', 'Deltoid, PosteriorTriceps, Long Head', 'Triceps, Long Head']"
Band-assisted Chest Dip,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Deltoid, AnteriorTriceps BrachiiPectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Triceps BrachiiPectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Pectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Pectoralis MinorRhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'RhomboidsLevator ScapulaeLatissimus DorsiTeres Major', 'Levator ScapulaeLatissimus DorsiTeres Major', 'Latissimus DorsiTeres Major', 'Teres Major']","['Trapezius, Lower']"
Cable Standing Crunch,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Rectus Abdominis'],['Obliques'],['No significant stabilizers']
Self-assisted Inverse Leg Curl,BasicMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Hamstrings'],"['GastrocnemiusGracilisSartoriusPopliteusPectoralis Major, SternalPectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiWrist Flexors', 'GracilisSartoriusPopliteusPectoralis Major, SternalPectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiWrist Flexors', 'SartoriusPopliteusPectoralis Major, SternalPectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiWrist Flexors', 'PopliteusPectoralis Major, SternalPectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiWrist Flexors', 'Pectoralis Major, SternalPectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiWrist Flexors', 'Pectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiWrist Flexors', 'Deltoid, AnteriorTriceps BrachiiWrist Flexors', 'Triceps BrachiiWrist Flexors', 'Wrist Flexors']","['Gluteus MaximusAdductor MagnusErector Spinae', 'Adductor MagnusErector Spinae', 'Erector Spinae']"
Cable Preacher Curl (stirrups),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Brachialis'],"['Biceps BrachiiBrachioradialis', 'Brachioradialis']",['Wrist Flexors']
Barbell Inverse Leg Curl,BasicMechanicsIsolatedForcePull,IsolatedForcePull,Pull,[],"['GastrocnemiusGracilisSartoriusPopliteus', 'GracilisSartoriusPopliteus', 'SartoriusPopliteus', 'Popliteus']","['Gluteus MaximusAdductor MagnusErector Spinae', 'Adductor MagnusErector Spinae', 'Erector Spinae']"
Lever Seated Shrug (plate loaded),Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Trapezius, Upper']","['Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']",['No significant stabilizers']
Suspended Single Leg Split Squat,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Weighted Single Leg Hip Thrust (leg extended),AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,[],['Adductor Magnus'],['Stabilizers']
