exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
Barbell Bench Press (power lift),Basic,Compound,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Erector Spinae', 'Gluteus Maximus']"
Barbell Stiff Leg Deadlift,Basic or Auxiliary,Compound,Pull,['Gluteus Maximus'],"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']"
Lever Underhand Seated Row,Basic,Compound,Pull,[],"['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",['']
"Back Extension (on stability ball, arms down)",Auxiliary,Isolated,Pull,['Erector Spinae'],[' '],[]
Lever Hip Thrust (on lying leg curl machine),Auxiliary,Isolated,Push,['Gluteus Maximus'],['Quadriceps'],['Erector Spinae']
Weighted Side Crunch (on stability ball),Auxiliary,Isolated,Pull,['Obliques'],['Rectus Abdominis'],[]
Dumbbell Seated Front Lateral Raise,Auxiliary,Isolated,Pull,['Supraspinatus'],"['Deltoid, Lateral', 'Deltoid, Anterior', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior']","['Trapezius, Upper', 'Wrist Extensors']"
Suspended Hyperextension,Basic or Auxiliary,Compound,Pull,['Erector Spinae'],"['Hamstrings', 'Gluteus Maximus', 'Adductor Magnus']","['Deltoid, Anterior', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior', 'Triceps Brachii']"
Lever Single Leg Seated Leg Press,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",['']
Lever Close Grip T-bar Row (plate loaded),Basic,Compound,Pull,[],"['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Adductor Magnus', 'Quadriceps']"
Cable Twisting Standing Overhead Pull,Auxiliary,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Obliques', 'Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']",['']
Suspended Triceps Dip,Basic,Compound,Push,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']"
Barbell Decline Bench Press,Basic or Auxiliary,Compound,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",['']
